#空格简
b 现在
wfsj 𪚕
wftj 𪚙
vhrp 𪚜
vhrr 𪚤
sdhc 𪚩
dndc 𪚪
dhks 𪚬
dhkm 𪚭
vdhc 𪚯
dhkv 𪚰
dhkv 𪚳
gmdc 𪚵
dhks 𪚶
kgdc 𪚷
dmdc 𪚸
kbdc 𪚹
tndc 𪚼
dhkv 𪚽
cpcl 𪛀
ndgd 𪝀
wfsm 𪝶
nnvw 𪝹
ltks 𪞅
dmhs 𪞐
kckh 𪟁
qfqr 𪟥
blqj 𪠭
slkm 𪡁
scmc 𪡢
srbv 𪡩
scfl 𪡲
ssdk 𪢀
sgsr 𪢎
sdhh 𪢕
shyq 𪢚
sgrg 𪢧
dkgo 𪢹
frkd 𪣖
dwfs 𪤇
dnwp 𪤧
dmkd 𪤽
cvsu 𪥥
vscq 𪥯
cfmc 𪥼
cwfs 𪦔
xvfh 𪧂
jdmk 𪧢
jyvq 𪧨
rhqn 𪩓
fdmk 𪩮
wfsj 𪫶
ggsr 𪬮
gkmd 𪬰
hdlt 𪮱
lwfs 𪰻
lphk 𪱂
ysvj 𪱕
fkmc 𪲞
fgmc 𪳄
fhyq 𪴏
ndwk 𪴿
hwps 𪵠
lcdk 𪵧
xyyr 𪷓
xdmv 𪷴
xdhc 𪷾
vrbv 𪹇
vwfh 𪹊
vlkk 𪹲
vvyg 𪹹
vjyg 𪺅
tndv 𪺋
pddd 𪺔
byms 𪻣
sjbb 𪼈
bjyg 𪼭
bnwn 𪼰
xklm 𪽒
mvby 𪾗
jfrn 𪿂
chgw 𪿼
jbys 𫀃
vhdd 𫁣
vhyg 𫁩
vdlt 𫂤
mwfs 𫄛
mnnf 𫄫
mxmk 𫄯
wfts 𫅜
gjsb 𫆂
gjsr 𫆅
ltkj 𫆡
dmkr 𫆢
nrrm 𫆥
ryvq 𫆳
ltkm 𫆽
ltkb 𫇄
dfnf 𫇐
hvyq 𫇞
qsdi 𫇲
qqxp 𫉉
qdmr 𫉥
yfmc 𫋂
jwdd 𫋽
jdjm 𫌭
dgdn 𫌮
dgdj 𫌯
dgdw 𫌰
tfmc 𫌿
kdhk 𫍵
kngg 𫍸
rmyc 𫎼
yyri 𫏏
ydlt 𫏡
wfsl 𫐡
srjl 𫑍
lpys 𫒾
wwfg 𫓻
wlkr 𫓾
vhln 𫖛
ddfb 𫖡
nrrk 𫖶
ccfk 𫖺
mvsb 𫗐
jwdk 𫗺
wpkd 𫙾
mpqn 𫛓
lbhk 𫝝
ndwh 𫝯
skvs 𫡐
mbsr 𫢃
nwfh 𫢣
wftc 𫣃
nnvw 𫣪
nnvf 𫣱
nyfp 𫤂
sjbv 𫤍
nnvq 𫤑
nsln 𫤨
sjbb 𫤪
ndwp 𫤰
dwfs 𫤺
rnmn 𫥡
fpjq 𫦋
vkvm 𫧨
blqx 𫩍
shbq 𫩾
sxdm 𫪌
sfbq 𫪒
sbrf 𫪭
splm 𫫴
ndcs 𫬁
sfpk 𫬕
sdgy 𫬼
slvr 𫬾
dgmc 𫮌
dmdd 𫮛
dbwq 𫮥
ddlt 𫮧
hdld 𫮻
thxl 𫰀
cwfg 𫱁
ccys 𫱙
cpsw 𫱧
cqyq 𫲏
cqjm 𫲛
jwsq 𫲼
jysn 𫳶
jyss 𫴓
jysk 𫴙
nvmv 𫵌
bhyp 𫵪
hfgr 𫶔
bnxq 𫷩
jkmc 𫹕
jkmm 𫹝
jsrt 𫹟
jnsk 𫹢
wfsg 𫺐
bwfg 𫺡
grbv 𫺣
grrq 𫻅
hwfs 𫼹
hmwq 𫼾
hnsf 𫽄
hfpj 𫽣
ndyq 𫽺
hdgn 𫾅
hdmm 𫾓
fyfq 𫾲
wfsk 𫾵
wfsq 𫾿
qxpk 𫿍
lphk 𬁑
rkmc 𬁿
dltr 𬂏
rgsr 𬂒
dltr 𬂖
vhpr 𬂙
fqkc 𬂵
fnvv 𬃐
fqdd 𬄌
kxpk 𬄞
fylm 𬄼
fyfp 𬅊
wlfn 𬅍
wlfl 𬅔
ccfl 𬅖
ccft 𬅙
ccfc 𬅴
rlfq 𬇉
xlkk 𬈰
xgsr 𬉊
pxcv 𬋐
vyfp 𬋙
yyyp 𬌐
fpjj 𬌒
ndwn 𬍋
sjbk 𬍟
bnsf 𬍪
bngg 𬎁
wrnp 𬎰
pgwq 𬏁
pgry 𬏌
fmcy 𬐢
pxcy 𬐬
nwdk 𬑞
tlnn 𬑷
chqn 𬒢
jbyq 𬓙
tnlm 𬓦
dmdt 𬓺
vwfk 𬕬
vjyh 𬕲
vvpr 𬖉
wfsq 𬖳
msbu 𬘥
mjys 𬘻
nrgw 𬚇
gjqn 𬚦
nrsn 𬚫
ysmr 𬚽
mrnr 𬛕
ltkc 𬛠
ndrg 𬛼
ysfb 𬜃
ffcm 𬜄
hvmn 𬜕
qdgd 𬜲
qnwm 𬞎
qylm 𬞞
qnvl 𬞤
qcyq 𬞽
qfql 𬟠
qmyq 𬟦
ywfg 𬠖
yjmk 𬠶
wftb 𬡌
nrkp 𬢅
dgdd 𬢕
dgdv 𬢖
pwsd 𬢗
dgdk 𬢘
mbdd 𬢙
tbrf 𬢬
tjys 𬣁
cdgt 𬣏
kdmf 𬤂
knsf 𬤅
kpco 𬤌
kyvg 𬤕
dltn 𬥆
ltvq 𬥠
rmyp 𬦗
yfpj 𬧀
ydgt 𬧕
ksps 𬧮
ndsl 𬨲
vkvl 𬩂
hbwl 𬩔
srjl 𬩠
nrvl 𬩢
wsql 𬩩
wfst 𬪓
kvly 𬪲
lqkc 𬫗
lnsf 𬫡
wnnf 𬭜
wjys 𬭪
wyfp 𬮀
wyfh 𬮂
txqv 𬯕
twfk 𬯖
thss 𬯜
wlfs 𬰸
jvrf 𬲮
jvyg 𬳉
jrvr 𬴋
cjvr 𬴦
rpyk 𬶡
dgdm 𬷺
nrvx 𬸜
qvxk 𬹐
qxpd 𬹑
qxpg 𬹓
vhpf 𬺙
skkd 𬼎
nlkm 𬾁
wfth 𬾂
nkwq 𬾜
ngmc 𬾻
nlkk 𬿮
nslm 𭀴
tmng 𭀵
kgkg 𭁤
kgkr 𭁬
vnvh 𭄙
xlhk 𭅞
tysl 𭅾
jhbq 𭆯
gnwq 𭆱
dbqs 𭇸
kcwm 𭈃
snri 𭈞
sxvd 𭈟
snsf 𭈫
wfsv 𭉀
sngg 𭉮
sjrf 𭉸
tysm 𭋚
sdhv 𭋣
sqyq 𭋽
ddmd 𭎩
nmmk 𭏓
dxqv 𭏬
jysd 𭐋
ltkk 𭐤
dmkb 𭐨
mmkt 𭐩
mmkk 𭐪
dmks 𭐭
blhl 𭑤
xlkc 𭒐
cwfk 𭒙
cpfv 𭒡
jnwh 𭓕
jdgd 𭓲
jyst 𭔛
jyst 𭔠
ysvj 𭕁
nswq 𭕅
bhmv 𭕠
rhyk 𭖪
rhhk 𭗐
mmkm 𭘁
yvsr 𭘡
yvqn 𭘲
bnmv 𭙣
bncc 𭚅
bndq 𭚍
dmkl 𭚢
jlbq 𭛲
gdmp 𭝃
wfsf 𭝯
gbnv 𭞒
ysvg 𭞮
gwfh 𭞶
dkdd 𭟵
dksr 𭟻
nrhh 𭠈
nrgk 𭠊
nrgf 𭠋
nrvl 𭠌
hkws 𭡗
ndnr 𭡙
hyyk 𭡡
hryt 𭡳
hnvl 𭢬
hyfv 𭣓
hdkq 𭥉
lbqo 𭥒
lmmk 𭦕
lgmc 𭦾
hvgm 𭧓
dmdl 𭧳
llqn 𭨋
nrsl 𭨠
nrrf 𭨼
nrvr 𭨿
bsdf 𭫢
ccff 𭫽
fnsy 𭬛
cfkk 𭯀
cfkf 𭯂
dmkh 𭯛
jqrf 𭯱
xlkr 𭱛
xygk 𭲕
xdml 𭲗
xnkp 𭳆
xyfp 𭳢
vlkm 𭴤
vnri 𭵅
vnys 𭵚
vfpj 𭵲
vdhk 𭵶
vdlt 𭶆
vnkf 𭶇
jfmv 𭶓
dgdv 𭶝
nrvp 𭶳
bbqo 𭸸
brlf 𭹁
bxmk 𭹭
bdgk 𭺅
xkqn 𭻠
wlxq 𭻬
klyq 𭼡
rndk 𭽠
kgrf 𭽣
nwgm 𭿏
nwns 𭿚
ndnm 𭿧
chqs 𮀥
chyp 𮁕
jbsb 𮁵
jbnl 𮂝
jbnn 𮂥
tnyp 𮃴
vhsr 𮄰
vhyq 𮄸
vnhd 𮅝
vdhk 𮅻
vlps 𮆸
lsdd 𮇢
lsnh 𮇫
mmkn 𮇾
pscs 𮈻
ndww 𮉺
wfsy 𮊀
kwbf 𮊭
ylkg 𮋗
xlkn 𮋠
gjgw 𮋼
nrrl 𮌙
ltkm 𮌫
dhkr 𮌳
xyvg 𮍓
dfbq 𮍡
ysfd 𮍤
ysfq 𮍲
hvsr 𮎏
dfgm 𮎝
qsrw 𮎺
qdgr 𮏴
qfbw 𮐣
qdmj 𮐦
qnsv 𮐹
qlkk 𮑒
qgsr 𮑞
qdmv 𮒫
qdhk 𮒱
qnwn 𮒾
qtkc 𮓃
qtkf 𮓌
ymmk 𮔖
yfpj 𮔬
wyry 𮔸
fnsy 𮔼
jwfj 𮕣
jwgm 𮖞
dgdk 𮗡
dgdw 𮗢
dgdm 𮗣
dgdq 𮗤
dgdh 𮗥
dgdc 𮗦
dgdf 𮗧
dgdw 𮗩
dgdl 𮗪
lttd 𮗫
dgdl 𮗬
dgdq 𮗭
dgdb 𮗯
dgds 𮗰
dgdq 𮗱
dgdm 𮗲
dgds 𮗳
dgdn 𮗴
vvdd 𮗵
dgdv 𮗶
tdgt 𮙁
djjm 𮙩
ywfs 𮛜
yhsq 𮛠
ykwl 𮛼
ygmc 𮛽
ydhv 𮜡
thxb 𮝝
thpm 𮝲
vpyq 𮝽
wftl 𮞊
svsl 𮞐
lbql 𮞡
wfsl 𮞤
cxll 𮞸
blqt 𮟬
kvss 𮡔
kvhk 𮡜
lxwq 𮡾
xkcl 𮢗
mrdd 𮣾
tjhq 𮤐
tyvq 𮥝
twfq 𮥞
byms 𮥼
ndwb 𮨠
vnvb 𮨣
jyyb 𮨥
ndww 𮫘
sllk 𮫚
mpnl 𮭂
nrsv 𮮝
kcwq 𮮧
dxnv 𮰩
slsb 𮱶
nrsn 𮲒
hwsb 𮳁
nrsx 𮳓
pnso 𮳾
bkwi 𮴊
qxnr 𮶥
wmmk 𮸏
wgmc 𮸘
nrvk 𮸸
nrbk 𮸹
jrxq 𮹆
jryq 𮹎
npsm 侻
nkwl 偺
ndlt 像
ltkm 𠘺
jysh 割
kgbh 剷
vfsr 㔕
wsqo 及
sppx 咞
swsq 吸
srwi 呈
nrks 啓
srwl 嗂
ddfn 売
cpsm 娧
cpco 㛼
fpjf 将
rhkw 嵃
rhkj 嵼
yvpm 帨
bnpk 㡼
jyyg 憲
jfrg 懲
hkck 拔
hfml 搢
hsmy 摾
hkdl 撝
hyhd 㩬
ysvq 最
rysj 肭
mwrr 望
frwl 榣
fkxc 檨
fmlq 㰘
ydhc 歔
fdcy 殟
cfkn 殺
vylr 𣫺
xmso 沿
xssl 洖
xlkm 流
xtdw 㴳
rhbv 炭
pfmv 𠔥
vswg 熜
ysfv 爨
ywpc 牐
byyk 瑇
pgwp 𢆟
chpx 碌
yscy 䍙
lri 𣍟
ltkr 育
rqfa 脃
qssl 茣
qbrf 菧
qtfd 䕝
ydyr 虜
ycwy 蝹
yqxx 螆
ykdl 蟡
jwlm 裗
jwpm 裞
jwpx 䘵
tmso 䛇
rmyt 起
ykck 跋
cwdl 𨗭
fmmt 鄑
lkck 鈸
lssl 鋘
lsmy 鏹
lyfv 𨯺
cfkw 閷
mspx 䩮
prpm 駾
gppp 䯎
flnv 𰀙
gpmr 𰁠
nnso 𰂌
nnsf 𰂟
jysy 𰃫
fyfh 𰄭
wsqv 𰆵
wsqv 𰆾
wsqm 𰇮
swfh 𰇲
hvms 𰈧
spcc 𰈱
sgqw 𰈸
swfb 𰈼
dwfs 𰉜
fpjd 𰊈
dxmk 𰊐
ddnr 𰋍
lwwq 𰋦
bhjm 𰎆
rhnq 𰎙
rhgm 𰎤
rhgm 𰎭
rhjr 𰎾
ccfq 𰐌
ltdd 𰐏
dmds 𰐢
jyvq 𰐷
gpfv 𰒑
nrhc 𰒴
nrhh 𰒶
hnso 𰓸
ndnf 𰔅
hwfq 𰔣
ghcn 𰔶
hbxv 𰔷
ltkk 𰕎
dhkk 𰕙
lcla 𰖒
ldhk 𰖢
fdmp 𰗯
fdhk 𰘗
lfnh 𰘪
fnkf 𰘮
flqn 𰘿
wsqk 𰙟
fdsb 𰙾
ygrh 𰚞
xysy 𰜖
xrsb 𰜤
xdmr 𰜯
xnks 𰜶
xscy 𰝕
xrmf 𰝧
xbpv 𰝩
xlkc 𰝱
vvbq 𰞵
ccfv 𰟛
vgqw 𰟪
yysr 𰠔
pwfh 𰡘
blqn 𰢗
kldd 𰣮
fdvy 𰤽
ndwy 𰥇
chbq 𰦥
wfsc 𰧂
chnf 𰧐
dhkc 𰧑
chyg 𰧒
chpv 𰧧
tnnh 𰨯
wsqp 𰩕
vgmc 𰪎
vnmv 𰪚
vpnv 𰪢
pgmc 𰫯
pjyg 𰫸
mfmc 𰬢
mdgt 𰬽
wsqg 𰭟
rnhd 𰮯
rhgk 𰯔
nrrr 𰯜
rbpv 𰯧
xvfy 𰯲
pxcq 𰯻
ysfl 𰯼
wfsf 𰰘
qysk 𰱤
qfyq 𰲌
ydgd 𰲾
fyfj 𰴗
dgdn 𰴢
nddd 𰴣
dgdl 𰴤
dgdl 𰴥
dgdl 𰴦
kbqo 𰵐
kwft 𰵚
kyms 𰵪
kmmk 𰵯
kmqv 𰵶
ksdg 𰶂
khgk 𰶆
dltf 𰶯
sjbq 𰷄
qgpv 𰷖
hgrf 𰷢
ywfb 𰸵
ksbq 𰸺
thpr 𰹫
ghbq 𰹺
ghrf 𰺀
vppv 𰺫
xkql 𰻐
ldgd 𰼰
lwfh 𰽀
lyfp 𰽓
wwfs 𰾅
wdmp 𰾉
wsdn 𰾊
wdhk 𰾧
wyvg 𰾬
wsdg 𰾱
whgk 𰾳
vjfm 𰿽
tpfv 𱀶
wfsb 𱁎
kblr 𱁟
ngsq 𱂃
dmkn 𱃃
nqdk 𱃋
dbmn 𱃏
kwpk 𱃮
prjm 𱄗
jrwq 𱅂
nrvj 𱅝
klvf 𱅻
nrhp 𱆝
rpbq 𱇖
mmkx 𱉾
dmdx 𱊀
nrrx 𱊋
jysx 𱊟
wfsx 𱊣
ndwx 𱊭
qxpj 𱋲
qvxm 𱋳
qxpv 𱋴
cypv 𱌐
fyfn 𱍪
jlkm 𱍮
sdgd 𱎆
gpml 𱎙
wfmk 𱏗
ndhc 𱏜
qfqh 𱐤
vvpk 𱑒
bjxv 𱑓
qqwq 𱑶
blqs 𱑻
sxwq 𱒹
nrss 𱔐
sgmb 𱔑
sdlt 𱔠
sphk 𱔢
sjyh 𱔣
sfnf 𱔶
snmv 𱔾
sdgy 𱔿
sccn 𱕮
shgg 𱕱
cknv 𱖄
dkwi 𱖘
dcmy 𱖯
dyvq 𱗸
dlkk 𱘀
ddgt 𱘆
xjyd 𱘈
kfjq 𱘴
thpl 𱘿
fmcv 𱙳
hsqs 𱙽
rhdd 𱛮
dgdr 𱜒
rhyk 𱜕
fdmk 𱜞
yvnv 𱜯
vnyq 𱝂
dmdw 𱝢
jnnf 𱝲
jwfs 𱝷
gbrf 𱞧
vsgf 𱞵
gvvk 𱟂
gtys 𱟄
vkvd 𱟝
nrhm 𱟢
nrvw 𱟣
nrvm 𱟥
nrhl 𱟧
hdmp 𱠄
hnhd 𱠒
hgmc 𱠜
hnwm 𱠴
dmdk 𱡛
lwfk 𱡝
kgyv 𱡧
srhx 𱡩
lwfs 𱡻
lwfg 𱢌
ljys 𱢜
ldhc 𱢲
ysvs 𱢶
wftr 𱢸
fnsf 𱣵
fkwl 𱣹
cfkf 𱤃
fdmv 𱤮
fyfv 𱤶
yykk 𱥝
xkgo 𱥲
xdgd 𱦨
ysfx 𱩫
nwvv 𱪺
vmqv 𱫘
vqpx 𱬓
vjfm 𱬙
jtrv 𱬱
ysfv 𱬲
smyq 𱭧
psrw 𱭼
pwfq 𱮜
bnkf 𱯦
bhgk 𱯨
kllk 𱱨
kllr 𱱳
nwfc 𱲾
chsr 𱴇
chpk 𱴴
jbgr 𱵭
jmjv 𱷗
vfmc 𱸀
vmlm 𱸔
vxnf 𱸭
lsfc 𱹊
pqys 𱹷
kwnf 𱻍
kwmp 𱻎
nrgc 𱻥
rxdm 𱼌
nrrf 𱼘
rmrr 𱼙
ndwd 𱼱
vkhq 𱼲
qysp 𱽡
qjqd 𱽮
qjyq 𱾩
ydwq 𱿐
dlty 𲀔
jwdk 𲀿
dgds 𲁚
dgds 𲁛
flcd 𲁜
pcdd 𲁝
dgdf 𲁞
dksd 𲁟
dgdy 𲁠
tnvr 𲁽
kwsq 𲂅
wfss 𲂘
dltd 𲂢
qgnh 𲂱
rmyw 𲃐
rmlk 𲃓
thcs 𲄻
thgw 𲄾
dmfl 𲅢
lqcs 𲇘
lyvq 𲇤
wdmd 𲈁
twfs 𲉝
msbq 𲊛
wfmb 𲊶
wfsk 𲋁
prbq 𲋴
gpwm 𲌐
gplm 𲌗
rphk 𲍙
jqxp 𲎕
dmkk 𲎣
dmdk 𲎤
gpmm 𲐒
cjfr 𲐓
wfsm 𲐩
njyq 𲑟
dhkm 𲑶
gklr 𲓓
ltkv 𲓨
tjbq 𲔊
blql 𲔋
snhd 𲕍
smbq 𲖣
sdyg 𲖲
sdmv 𲗙
srjm 𲗰
syfs 𲘏
dnsf 𲙡
dkmd 𲚏
dswr 𲚞
jysd 𲚢
dmks 𲚮
clkm 𲛊
cnhd 𲛙
cnsf 𲛜
jysh 𲜛
bhlm 𲜷
bhnv 𲜻
rhfc 𲝟
rhbf 𲝨
rhyq 𲝹
rhjr 𲞑
rhyp 𲞘
rhyp 𲞙
dmkk 𲞢
fnrf 𲞨
yvnb 𲞸
bnnm 𲟍
wsqg 𲠏
dmgq 𲠐
jkbg 𲠒
ykcg 𲠨
nrvh 𲡗
nrgs 𲡘
qdmn 𲣒
wftq 𲣪
lyvq 𲤽
ljfm 𲥄
lgqw 𲥈
lyfp 𲥎
wflw 𲥖
rsbu 𲥛
fmsd 𲦢
hvmf 𲦩
fnsd 𲧥
fgrg 𲧧
fyfv 𲧪
ysvn 𲧷
fdkq 𲧽
lclr 𲨡
lckq 𲨭
dywx 𲩜
xjys 𲩵
xwfh 𲪈
xwfb 𲪜
xtrw 𲪷
vyyk 𲫱
vcdd 𲬁
rhbt 𲬅
vgsr 𲬐
yybq 𲭆
wfss 𲭕
dlts 𲭙
pfmc 𲮋
pwfg 𲮒
pjys 𲮫
pmrr 𲮳
pgqw 𲯁
yyky 𲯊
prmf 𲯍
pnwn 𲯑
pdgy 𲯖
bdmp 𲯟
blkb 𲯫
bnsk 𲯵
bccj 𲰕
xkmv 𲱂
klkd 𲱽
xlky 𲲓
nwnh 𲲩
nwcn 𲲼
chyq 𲳿
chxv 𲴀
jbsr 𲴭
tnkq 𲵚
vhwq 𲵦
vhnv 𲵮
vrbv 𲶃
vxnv 𲶋
lswq 𲶽
lsvq 𲷔
pbrf 𲸄
pdlt 𲸖
pjnd 𲸗
wlyg 𲸷
gjpc 𲹳
nrrp 𲺬
nrrc 𲺰
rfnf 𲺺
nrrp 𲺻
dfnn 𲻈
ndws 𲻍
ndws 𲻏
hvts 𲻦
qhgk 𲼴
yykh 𲽒
qdhc 𲽫
ylkm 𲾛
ybnr 𲾧
qgby 𲿜
ydgv 𲿟
yhgk 𲿭
yyvq 𲿰
ylkk 𲿴
yqyq 𳀈
jfmy 𳀗
jjkq 𳀪
jwmv 𳀼
dgdd 𳁛
dgdn 𳁜
dgdp 𳁝
dgdt 𳁞
dgdj 𳁟
dgds 𳁠
dgdg 𳁡
dgdb 𳁢
xjfd 𳁣
dgdm 𳁤
dgdl 𳁥
dgdk 𳁦
twfn 𳁷
qgsb 𳂘
gpmq 𳂜
rmwq 𳂷
ydgd 𳃕
ynsf 𳃠
jfry 𳃬
kslr 𳃼
wsql 𳄵
vnvl 𳄺
xkqt 𳅊
dhkk 𳅮
lnhd 𳆉
lrbv 𳆑
lkwl 𳆔
lxmk 𳆛
blkl 𳆫
lplm 𳇈
llsb 𳇒
lkpq 𳇖
lccc 𳇤
lccj 𳇦
wsqy 𳈎
tkpq 𳈵
kbqn 𳉯
nrrp 𳌻
kcww 𳍛
wpnf 𳍠
wpdk 𳍳
wplk 𳍽
srmp 𳎹
hsqm 𳎼
fyfm 𳏀
nrbm 𳏫
ydym 𳏳
thcm 𳏿
dldd 𳐮
dldk 𳐿
cynn 𳑝
cynv 𳑢
kfwd 𳑰
/wy 未央字根编码提示
/wy 输入对应大码字母
/wyb 頁尸三古厂丆广隹王
/wyc 石亠女囗辰夭欠臼乂
/wyd 至其冖土士豸戈鹿尤尢夕
/wyf 巴一丬已之木朩
/wyg 车耳亦心勹正癶高骨咼习
/wyh 禺了子孑予方耂凵丩屮丱丁丅下贝丰早舟毛斤
/wyj 生见戊丨〢〣丷寸且彳亍穴宀长马业示
/wyk 西酉雨夊攵页丶乀止齒夫皮文疒不身里羊未末
/wyl 日曰气兀丌辶⻍舌金户戸卩㔾米七弋大亥
/wym 匕川巛巜儿世厶彐肀隶合僉丑鳥烏長镸髟來革食千亡
/wyn 几殳風丂手也乜犬飛戶小⺌尚而目
/wyp 糸彑見八卜鹵由申电馬爪瓜鬼干
/wyq 貝艹廾卅卌刀廴艮又
/wyr 山月力卯走白鱼上丄壬九
/wys 曲入乃弓牙向口〇乙亅乚
/wyt 車言門鬥豕矢禾工牛甲
/wyv 竹立辛火灬门二⺀黑十甫冊
/wyw 丿彡人自缶用魚瓦
/wyx 田匚己水氺鸟乌臣幺
/wyy 虫非麻虎虍甶足皿罒冂巳巾片爿面母
/wyb +do=頁
/wyb +ha=尸
/wyb +i=
/wyb +ja=三
/wyb +je=古
/wyb +la=厂丆
/wyb +ne=广
/wyb +o=隹
/wyb +u=王
/wyc +ha=石
/wyc +i=亠女
/wyc +ko=囗
/wyc +la=辰
/wyc +le=夭
/wyc +na=欠
/wyc +o=臼
/wyc +u=乂
/wyd +fo=至
/wyd +he=其
/wyd +i=冖土
/wyd +jo=豸
/wyd +ka=戈
/wyd +la=鹿
/wyd +le=
/wyd +na=尤
/wyd +no=夕
/wyd +o=尢
/wyd +u=士
/wyf +a=巴
/wyf +i=一丬
/wyf +le=已
/wyf +o=之
/wyf +u=木朩
/wyg +a=
/wyg +e=
/wyg +he=车
/wyg +je=耳
/wyg +le=亦
/wyg +ma=心
/wyg +o=勹正癶
/wyg +pe=高
/wyg +pu=骨
/wyg +si=咼
/wyg +u=习
/wyh +a=下
/wyh +bi=禺
/wyh +di=了
/wyh +do=方耂
/wyh +e=凵丩
/wyh +fo=丁丅
/wyh +gi=贝
/wyh +go=孑
/wyh +i=予
/wyh +o=丰
/wyh +ru=
/wyh +si=子
/wyh +vi=早
/wyh +vu=舟
/wyh +wi=屮丱
/wyh +wu=毛
/wyh +xo=斤
/wyj +a=生
/wyj +bo=示
/wyj +di=见亍
/wyj +do=戊
/wyj +e=丨〢〣丷宀
/wyj +fo=寸
/wyj +gi=且
/wyj +i=彳
/wyj +le=穴
/wyj +lu=
/wyj +ri=长
/wyj +ro=马
/wyj +si=业
/wyj +vi=
/wyj +we=
/wyk +a=西
/wyk +bi=雨
/wyk +ci=夊攵
/wyk +do=页
/wyk +e=丶乀
/wyk +fa=止
/wyk +fo=夫
/wyk +gi=皮
/wyk +gu=文
/wyk +i=
/wyk +la=疒
/wyk +o=
/wyk +re=末
/wyk +si=不
/wyk +su=身
/wyk +tu=齒
/wyk +va=酉
/wyk +vo=里
/wyk +we=羊
/wyk +wi=
/wyk +xi=未
/wyl +a=日
/wyl +co=气
/wyl +di=兀
/wyl +du=丌
/wyl +e=辶⻍
/wyl +fe=舌
/wyl +i=金
/wyl +ro=户戸
/wyl +ru=卩㔾
/wyl +si=米
/wyl +ti=七
/wyl +tu=弋
/wyl +wi=曰
/wyl +wo=大
/wyl +xo=亥
/wym +a=匕
/wym +bo=
/wym +ci=川巛巜
/wym +co=儿
/wym +do=世
/wym +e=厶
/wym +fi=彐肀隶
/wym +gi=合
/wym +je=烏
/wym +la=
/wym +le=丑
/wym +me=僉
/wym +pe=鳥
/wym +ri=長镸
/wym +ru=來
/wym +si=革
/wym +ti=髟
/wym +vi=食
/wym +we=千
/wym +wo=亡
/wyn +bi=几
/wyn +do=丂手
/wyn +e=也
/wyn +fe=乜
/wyn +fi=犬
/wyn +fo=飛
/wyn +gi=
/wyn +go=殳
/wyn +i=
/wyn +qu=風
/wyn +ro=戶
/wyn +si=小⺌
/wyn +vo=尚
/wyn +wi=而
/wyn +wu=目
/wyp +a=糸
/wyp +di=彑見
/wyp +e=八
/wyp +fo=卜
/wyp +go=申
/wyp +gu=由
/wyp +i=
/wyp +ro=馬
/wyp +u=爪
/wyp +vo=鬼
/wyp +vu=电
/wyp +we=鹵
/wyp +wu=瓜
/wyp +xu=干
/wyq +gi=貝
/wyq +i=艹廾卌
/wyq +ji=刀
/wyq +la=廴
/wyq +mi=卅
/wyq +ne=艮
/wyq +o=又
/wyr +he=山
/wyr +i=月
/wyr +jo=力
/wyr +li=卯
/wyr +me=走
/wyr +ne=白
/wyr +pe=鱼
/wyr +u=上丄
/wyr +wi=壬
/wyr +ye=九
/wys +gi=曲
/wys +ja=入
/wys +ko=乃
/wys +le=弓
/wys +me=牙
/wys +ne=向
/wys +o=口〇
/wys +u=乙亅乚
/wyt +a=
/wyt +he=車
/wyt +i=言
/wyt +ja=鬥
/wyt +je=門
/wyt +ke=豕
/wyt +li=矢
/wyt +na=禾
/wyt +o=工
/wyt +pa=牛
/wyt +u=
/wyt +wu=甲
/wyv +a=竹
/wyv +he=立灬
/wyv +i=火
/wyv +je=门
/wyv +ke=二⺀
/wyv +ne=黑
/wyv +pe=辛
/wyv +u=十
/wyv +xo=甫
/wyv +ye=冊
/wyw +i=丿人
/wyw +ke=自
/wyw +le=缶
/wyw +o=用
/wyw +pe=魚
/wyw +ro=瓦
/wyw +u=彡
/wyx +e=
/wyx +je=乌
/wyx +ke=田
/wyx +le=匚己
/wyx +me=水氺
/wyx +pe=鸟
/wyx +u=臣
/wyx +vu=
/wyx +yo=幺
/wyy +a=虫
/wyy +bu=非
/wyy +ci=麻
/wyy +do=虎虍
/wyy +e=甶足
/wyy +fo=皿罒
/wyy +i=
/wyy +su=冂
/wyy +ti=巳
/wyy +vo=巾
/wyy +wi=片
/wyy +wu=面
/wyy +xo=母
/wyy +ye=爿
knwm 为什么
lklf 是不是
ktjw 不知道
rfrm 越来越
wkxl 自己
nvwm 什么
gnlf 就是
kgwj 这个
xnkr 没有
hfsk 可以
ljnj 时候
kslf 不是
vjlf 问题
ckkr 因为
whnv 我们
nllf 但是
cslf 如果
ndjl 觉得
kslf 还是
hdlf 都是
wjwi 个人
tljw 知道
nrsk 所以
jqdn 很多
bjkj 现在
jlqc 喜欢
nnnv 他们
rnmf 然后
hfmr 可能
kgfk 这样
sjck 中国
whrn 我的
dhjv 其实
vsfi 第一
ljvj 时间
rrkq 朋友
vpwm 怎么
flmt 已经
fqcm 开始
ckvm 回答
nddf 看到
vjrn 真的
kgtn 这种
mmgh 比较
kswv 不会
snwm 那么
kskc 不要
kbkc 需要
lwjt 大家
kskr 还有
ksmr 不能
dkhd 或者
hwfl 出来
bnkl 应该
jdnd 感觉
kgwm 这么
chrn 好的
ndrn 你的
splf 只是
rnkl 的话
kstl 不知
ksjf 不过
kglf 这是
lwnd 大学
ltka 东西
kgkf 这些
ybnv 非常
ndnv 你们
nwjg 而且
